X,Y,Z
-4.7132,-24.7197,-1.5562
-4.6324,-24.6725,-1.5167
-4.5517,-24.6245,-1.4794
-4.3891,-24.5262,-1.4085
-4.1439,-24.3752,-1.3094
-4.0624,-24.3244,-1.2784
-3.9806,-24.2727,-1.249
-4.5225,-24.7814,-1.5396
-4.4423,-24.7343,-1.5012
-4.3608,-24.6863,-1.463
-4.1168,-24.5391,-1.3579
-3.8738,-24.389,-1.2629
-4.5063,-24.9354,-1.61
-4.3469,-24.8442,-1.5283
-4.1856,-24.7499,-1.4508
-4.1051,-24.7022,-1.4144
-4.023,-24.6529,-1.3785
-3.9406,-24.6028,-1.3444
-3.8587,-24.5529,-1.3107
-3.7767,-24.5025,-1.2783
-4.3999,-25.0491,-1.6423
-4.3207,-25.0046,-1.5991
-4.2402,-24.959,-1.5567
-4.0804,-24.8669,-1.4764
-3.999,-24.8193,-1.4377
-3.9179,-24.7713,-1.4002
-3.8366,-24.7227,-1.3644
-3.7555,-24.6738,-1.3297
-4.2577,-25.1768,-1.6745
-4.1786,-25.1329,-1.6305
-4.0987,-25.0884,-1.5865
-4.0189,-25.0431,-1.5448
-3.9381,-24.9972,-1.5028
-3.8577,-24.9512,-1.4621
-3.6161,-24.8091,-1.3501
-4.0995,-25.3009,-1.7031
-4.0207,-25.2578,-1.658
-3.941,-25.2139,-1.6131
-3.8616,-25.1697,-1.5699
-3.7813,-25.1248,-1.5266
-3.7013,-25.0796,-1.4847
-3.5413,-24.9875,-1.4059
-3.926,-25.4158,-1.7238
-3.7678,-25.3298,-1.632
-3.689,-25.2868,-1.5871
-3.6085,-25.242,-1.5434
-3.5287,-25.1976,-1.5002
-3.4491,-25.1528,-1.4585
-3.7749,-25.5462,-1.7606
-3.6964,-25.5043,-1.7136
-3.6172,-25.4618,-1.6667
-3.5386,-25.4193,-1.621
-3.3794,-25.3322,-1.5315
-3.5115,-25.6226,-1.7329
-3.4318,-25.5801,-1.6854
-3.3531,-25.5382,-1.6384
-3.2728,-25.4947,-1.5924
-3.1931,-25.4514,-1.5474
-3.6077,-25.8826,-1.9349
-3.5297,-25.843,-1.8833
-3.4524,-25.8033,-1.8334
-3.2176,-25.6816,-1.6855
-3.1379,-25.6393,-1.6381
-3.0585,-25.5968,-1.5922
-3.5422,-26.0427,-2.0301
-3.4646,-26.004,-1.9773
-3.3092,-25.9256,-1.874
-3.2314,-25.8861,-1.823
-3.1528,-25.846,-1.7722
-3.0747,-25.8056,-1.723
-2.9952,-25.7642,-1.6744
-3.8661,-26.3868,-2.4233
-3.7917,-26.352,-2.366
-3.6396,-26.28,-2.2515
-3.5634,-26.2434,-2.1954
-3.4867,-26.2062,-2.1403
-3.4097,-26.1687,-2.0855
-3.3324,-26.1308,-2.0311
-3.256,-26.093,-1.9784
-3.1788,-26.0544,-1.9265
-3.1012,-26.0154,-1.8744
-3.0227,-25.9759,-1.8224
-2.9453,-25.9368,-1.7714
-2.8663,-25.8962,-1.7214
-3.6834,-26.4835,-2.4514
-3.6089,-26.4491,-2.3931
-3.5344,-26.4144,-2.3356
-3.4595,-26.379,-2.2795
-3.3832,-26.3429,-2.2221
-3.3066,-26.3065,-2.1652
-3.231,-26.2701,-2.1105
-3.1551,-26.2333,-2.0561
-3.0786,-26.1959,-2.0022
-2.9234,-26.1193,-1.8956
-2.7684,-26.0417,-1.792
-3.5008,-26.5737,-2.4758
-3.4263,-26.5398,-2.4165
-3.3515,-26.5052,-2.3586
-3.2019,-26.4356,-2.2436
-3.1267,-26.4003,-2.1871
-3.0508,-26.3642,-2.1315
-2.9746,-26.3277,-2.0761
-2.8981,-26.2909,-2.0208
-2.7443,-26.2161,-1.9128
-3.5454,-26.7651,-2.6852
-3.4721,-26.7328,-2.6239
-3.3987,-26.6997,-2.5645
-3.1745,-26.5982,-2.3852
-3.0996,-26.5638,-2.3267
-3.0248,-26.5294,-2.2683
-2.9492,-26.4939,-2.2115
-2.8735,-26.4586,-2.1543
-2.7972,-26.4224,-2.098
-2.6446,-26.3497,-1.9869
-2.5679,-26.3125,-1.9328
-3.1504,-26.7527,-2.5288
-2.9102,-26.8016,-2.4921
-2.8351,-26.7678,-2.4321
-2.76,-26.7339,-2.3723
-2.6846,-26.6996,-2.313
-2.6088,-26.6649,-2.2543
-2.5346,-26.631,-2.1966
-2.4593,-26.5959,-2.14
-2.384,-26.561,-2.0829
-2.9014,-26.9382,-2.6324
-2.8281,-26.9061,-2.5716
-2.7549,-26.8739,-2.5112
-2.6813,-26.8409,-2.4521
-2.6061,-26.8074,-2.3916
-2.532,-26.7737,-2.3334
-2.4578,-26.7403,-2.2749
-2.3832,-26.7063,-2.2168
-2.3082,-26.672,-2.1589
-2.9108,-27.0583,-2.7674
-2.8373,-27.0266,-2.7052
-2.764,-26.9949,-2.6434
-2.6906,-26.9628,-2.5823
-2.6171,-26.9306,-2.5218
-2.4694,-26.8649,-2.4027
-2.3954,-26.8319,-2.3433
-2.3209,-26.7984,-2.2843
-2.2459,-26.7644,-2.226
-2.8442,-27.14,-2.8351
-2.7704,-27.1084,-2.7721
-2.5613,-27.2244,-2.8319
-2.489,-27.1938,-2.7694
-2.417,-27.1635,-2.7068
-2.3434,-27.1323,-2.6434
-2.2689,-27.1,-2.5819
-2.1944,-27.0675,-2.5205
-2.1195,-27.0347,-2.4596
-2.0451,-27.0024,-2.3979
-2.3871,-27.3115,-2.8719
-2.3147,-27.2815,-2.8076
-2.2421,-27.2511,-2.7443
-2.1694,-27.2205,-2.6816
-2.0963,-27.1891,-2.62
-2.0231,-27.1578,-2.5585
-1.9495,-27.1258,-2.4977
